Team,Rec,Delta,Rat,Pwr,Off,Def,HFA,SoS,Year
ETSUNCAA D1,23-110.676,1,1597.02,16531.19,25389.49,12719.28,2.82,28326.15,25-26
DrakeNCAA D1,14-200.412,-1,1607.02,11934.73,16191.92,9720.39,2.77,13231.39,25-26
Robert MorrisNCAA D1,22-110.667,,1617.02,17630.58,23389.99,16218.16,2.78,24327.1,25-26
GannonNCAA D2,34-30.919,5,1627.01,18330.26,6797.61,41610.23,2.83,39514.42,25-26
Loy MarymountNCAA D1,15-170.469,-1,1637.01,14032.96,21490.61,11019.92,2.89,12631.73,25-26
South AlabamaNCAA D1,21-120.636,-1,1647,17130.95,25789.42,13319.1,2.81,23327.52,25-26
Portland StNCAA D1,20-110.645,-1,1657,18530.14,27988.65,13419.07,2.77,22827.58,25-26
N ColoradoNCAA D1,20-120.625,-1,1667,15431.69,10295.17,28614.09,2.67,23127.55,25-26
TowsonNCAA D1,19-150.559,-1,1676.98,15731.45,36286.33,5822.69,2.82,18628.71,25-26
IdahoNCAA D1,21-150.583,,1686.97,19429.56,23789.91,18217.22,2.72,19328.51,25-26
Austin PeayNCAA D1,22-90.710,,1696.97,20328.8,20490.83,23415.55,2.9,28825.94,25-26
CS NorthridgeNCAA D1,20-140.588,,1706.96,19829.25,10095.23,38011.59,2.78,17029.17,25-26
UC DavisNCAA D1,19-140.576,,1716.96,19129.81,21390.64,19616.75,2.81,16929.2,25-26
Montana StNCAA D1,18-140.563,1,1726.96,16231.3,21990.47,15418.4,2.78,18328.8,25-26
RichmondNCAA D1,15-170.469,-1,1736.96,14732.48,16391.88,16118.18,2.85,14430.83,25-26
New Mexico StNCAA D1,16-160.500,,1746.95,15931.41,23489.96,13619.03,2.9,15729.82,25-26
UC Santa BarbaraNCAA D1,18-140.563,,1756.94,16031.4,20190.88,16518.09,2.82,19928.39,25-26
MerrimackNCAA D1,23-110.676,,1766.94,21328.39,43984.42,7821.54,2.64,25826.76,25-26
William & MaryNCAA D1,20-120.625,,1776.94,20728.67,11694.38,36911.87,2.84,20828.21,25-26
MarshallNCAA D1,20-130.606,,1786.93,18130.33,11894.25,31213.65,2.9,22727.66,25-26
CornellNCAA D1,15-130.536,,1796.93,15131.98,23101.03,4758.53,2.77,17729.02,25-26
OaklandNCAA D1,16-160.500,,1806.92,16631.14,10195.22,31813.5,2.75,14530.81,25-26
UTRGVNCAA D1,19-140.576,,1816.92,18730.09,20890.74,19216.93,2.76,21128.16,25-26
Utah TechNCAA D1,19-150.559,,1826.9,21428.35,18391.32,26314.61,2.91,16729.3,25-26
HarvardNCAA D1,17-120.586,,1836.9,19729.35,40885.08,7521.85,2.69,20228.26,25-26
Appalachian StNCAA D1,19-130.594,,1846.89,17330.73,39385.55,5622.76,2.75,26126.73,25-26
NavyNCAA D1,26-80.765,,1856.89,20928.62,34386.95,12819.24,2.66,34822.4,25-26
N KentuckyNCAA D1,20-140.588,,1866.89,18630.14,13393.24,26714.47,2.84,25726.79,25-26
Missouri StNCAA D1,16-180.471,,1876.88,16131.34,20690.8,16318.12,2.89,16829.26,25-26
MercerNCAA D1,19-130.594,,1886.88,19529.45,14592.71,27614.32,2.85,23627.42,25-26
SamfordNCAA D1,18-140.563,,1896.88,17430.72,11994.25,28914.04,2.86,23727.4,25-26
Monmouth NJNCAA D1,19-150.559,,1906.87,20129,26689.13,17517.45,2.84,20328.24,25-26
Queens NCNCAA D1,21-140.600,,1916.87,21828.13,8596.2,4349.51,2.77,22227.78,25-26
MontanaNCAA D1,17-160.515,1,1926.86,18929.82,18691.24,21516.15,2.87,18928.65,25-26
Bowling GreenNCAA D1,18-140.563,-1,1936.86,17730.51,18091.34,19716.74,2.78,24626.99,25-26
James MadisonNCAA D1,18-150.545,,1946.86,18030.33,20090.9,18717.01,2.83,21827.89,25-26
FordhamNCAA D1,17-150.531,,1956.86,18830.04,32987.34,10220.27,2.73,22027.85,25-26
LipscombNCAA D1,19-130.594,,1966.86,18230.27,15992.02,22715.83,2.82,26226.7,25-26
PortlandNCAA D1,15-190.441,,1976.86,22427.67,19990.9,27314.34,2.88,11332.49,25-26
SienaNCAA D1,23-120.657,1,1986.85,22327.87,35286.59,14218.85,2.75,29425.4,25-26
Tennessee StNCAA D1,23-100.697,-1,1996.85,22927.47,13593.14,36611.9,2.8,31424.53,25-26
Southern MissNCAA D1,19-160.543,,2006.85,22027.92,23789.91,23315.58,2.96,19028.62,25-26
TAM C. ChristiNCAA D1,18-150.545,1,2016.85,18430.19,32087.57,10320.2,2.78,24127.18,25-26
CS FullertonNCAA D1,18-160.529,-1,2026.85,22827.57,13793.04,35812.1,2.8,16029.67,25-26
Cent ArkansasNCAA D1,22-120.647,,2036.84,23727.07,20590.81,30313.83,2.94,26626.61,25-26
MassachusettsNCAA D1,17-160.515,,2046.84,17530.61,11794.31,29913.87,2.86,21627.98,25-26
Ga SouthernNCAA D1,21-160.568,,2056.84,23127.32,12993.75,38911.14,2.83,23527.47,25-26
