Team,Rec,Tms,Rat,Pwr,Off,Def,HFA,SoS,Year
Northeast,44-810.352,9,356.51,3521.35,4483.73,3214.17,2.87,3623.92,23-24
Southwestern AC,41-1170.259,12,366.51,3621.33,4184.07,3413.83,2.9,3225.46,23-24
Northern Sun,71-230.755,15,376.48,3720.57,3485.38,3811.76,2.86,3819.53,23-24
Mid America IAA,67-260.720,14,386.32,3819.12,4782.75,3712.93,2.9,3917.5,23-24
Lone Star,69-420.622,16,396.15,3917.1,4084.28,419.38,2.89,4016.27,23-24
Sunshine State,66-250.725,11,406.11,4016.53,2987.79,615.3,2.85,4514.27,23-24
Great Lakes Val,68-460.596,14,416.11,4116.5,4583.55,409.51,2.88,4115.29,23-24
Great Lakes IAC,63-430.594,10,426.09,4315.92,4683.38,439.1,2.89,4214.91,23-24
Peach Belt East,72-350.673,5,436.06,4215.97,3087.05,595.48,2.88,5311.91,23-24
Peach Belt,77-280.733,10,446,4614.65,3784.56,566.65,2.86,5112.72,23-24
California CAA,48-330.593,12,456,4414.85,5681.31,3910.09,2.86,4314.58,23-24
Rocky Mtn AC,56-420.571,15,465.99,4514.68,4283.87,527.37,2.89,4414.47,23-24
Great Northwest,60-460.566,10,475.94,4814.3,4982.22,478.64,2.84,4813.64,23-24
Peach Belt West,60-480.556,5,485.93,5113.34,5282.07,507.83,2.84,4913.52,23-24
Northeast-10,46-300.605,12,495.93,4714.52,5082.15,468.94,2.92,5013.39,23-24
Great American,31-410.431,12,505.91,4914.15,5481.64,449.07,2.9,4613.96,23-24
Pacific West,46-510.474,11,515.9,5013.76,6081.05,429.27,2.86,4713.92,23-24
PSAC West,77-460.626,7,525.86,5213.19,4882.67,547.08,2.91,5510.98,23-24
NCAA D2,380-1230.755,296,535.82,5312.77,5182.14,537.19,2.88,5212.48,23-24
Great Midwest,66-470.584,13,545.8,5412.48,6180.42,488.62,2.87,5411.74,23-24
Gulf South,32-250.561,13,555.66,5510.91,5781.3,576.17,2.88,5710.57,23-24
South Atlantic,53-520.505,13,565.63,5610.67,3984.3,702.93,2.9,5610.66,23-24
Mountain East,40-300.571,12,575.63,5710.66,3684.57,732.65,2.88,5810.4,23-24
Penn St AC,63-520.548,18,585.62,5810.28,5581.55,605.3,2.93,5910.08,23-24
CIAA South,58-530.523,6,595.54,608.83,7076.9,498.5,2.89,658.69,23-24
CIAA North,48-630.432,5,605.51,599.46,6976.98,459.04,2.88,609.48,23-24
Central IAA,53-690.434,13,615.51,618.79,6877.63,517.72,2.89,629.07,23-24
University AA,77-220.778,8,625.47,658.07,6379.47,625.16,2.85,684.3,23-24
PSAC East,55-600.478,8,635.46,648.15,5382.05,722.66,2.96,619.3,23-24
Central Atlantic,66-700.485,12,645.46,628.32,5881.15,673.73,2.84,638.96,23-24
Conf Carolinas,64-810.441,14,655.45,638.26,5981.14,683.68,2.88,648.76,23-24
Wisconsin IAC,59-360.621,8,665.32,667.08,6578.79,644.85,2.82,694.17,23-24
Old Dominion AC,98-360.731,13,675.23,675.15,7874.91,556.8,2.86,712.75,23-24
Southern IAC,55-730.430,16,685.16,684.24,7675.9,634.9,2.87,675.19,23-24
Ohio AC,52-230.693,10,695.15,694.07,6778.08,742.55,2.9,702.88,23-24
American Rivers,65-320.670,9,705.12,703.92,7176.85,693.62,2.83,732.12,23-24
East Coast,43-650.398,9,715.07,733.11,6279.55,870.11,2.91,665.86,23-24
Ill & Wisc,40-430.482,9,725.04,713.77,7775.86,654.47,2.79,722.46,23-24
NESCAC,96-550.636,11,735.03,723.15,8573.93,585.77,2.87,740.3,23-24
