season,team,team_key,level,conference_2020_21,wins,losses,win_pct,delta,rating_rank,rating,power_rank,power,offense_rank,offense,defense_rank,defense,hfa,sos_rank,sos,source_row
2025-26,SF Austin,sf austin,NCAA D1,,28.0,6.0,0.824,,11.0,7.36,138.0,33.02,215.0,90.6,107.0,19.99,2.81,26.0,26.73,111
2025-26,Wyoming,wyoming,NCAA D1,,18.0,15.0,0.545,,11.0,17.33,111.0,35.62,144.0,92.75,95.0,20.45,2.94,99.0,34.32,112
2025-26,Seattle,seattle,NCAA D1,,21.0,14.0,0.6,1.0,11.0,27.33,115.0,35.28,271.0,88.93,36.0,23.93,2.95,116.0,32.39,113
2025-26,North Texas,north texas,NCAA D1,,19.0,14.0,0.576,1.0,11.0,37.32,106.0,36.2,305.0,87.99,27.0,25.79,2.74,123.0,31.88,114
2025-26,Bradley,bradley,NCAA D1,,21.0,13.0,0.618,-2.0,114.0,7.32,11.0,35.72,114.0,94.48,145.0,18.81,3.0,129.0,31.64,115
2025-26,Memphis,memphis,NCAA D1,,13.0,19.0,0.406,1.0,115.0,7.31,89.0,38.35,82.0,96.23,117.0,19.69,2.86,82.0,36.58,116
2025-26,Davidson,davidson,NCAA D1,,20.0,14.0,0.588,-1.0,116.0,7.31,118.0,34.94,239.0,89.91,6.0,22.6,2.72,112.0,32.5,117
2025-26,N Dakota St,n dakota st,NCAA D1,,27.0,8.0,0.771,,117.0,7.31,135.0,33.32,143.0,92.81,166.0,18.09,2.74,24.0,27.18,118
2025-26,UNC Wilmington,unc wilmington,NCAA D1,,27.0,7.0,0.794,,118.0,7.3,132.0,33.54,198.0,90.98,105.0,20.14,2.73,277.0,26.37,119
2025-26,FL Atlantic,fl atlantic,NCAA D1,,18.0,15.0,0.545,1.0,119.0,7.3,107.0,36.1,95.0,95.48,159.0,18.2,2.93,109.0,32.84,120
2025-26,Hofstra,hofstra,NCAA D1,,24.0,11.0,0.686,-1.0,12.0,7.3,12.0,34.65,241.0,89.87,64.0,22.35,2.7,18.0,28.9,121
2025-26,G Washington,g washington,NCAA D1,,19.0,16.0,0.543,,12.0,17.28,113.0,35.5,86.0,96.18,193.0,16.89,2.82,11.0,32.7,122
2025-26,Sam Houston St,sam houston st,NCAA D1,,22.0,12.0,0.647,,12.0,27.27,127.0,33.96,98.0,95.33,211.0,16.2,2.9,142.0,30.88,123
2025-26,Hawaii,hawaii,NCAA D1,,24.0,9.0,0.727,,12.0,37.27,134.0,33.4,169.0,91.77,13.0,19.21,2.83,219.0,27.88,124
