target,source_conference,rows,mae,median_abs_error,mean_error,actual_mean,prediction_mean
bpr,Big 12,16,2.0262229955864046,1.7296080979126796,0.5173563550144753,1.2437500000000001,1.7611063550144754
bpr,MWC,24,1.8974657458791198,1.990748516281776,0.19283492472785477,1.2391666666666665,1.4320015913945214
bpr,Big Sky,9,1.8704077727030546,1.412805961572008,-0.08258634201372124,1.0944444444444446,1.0118581024307232
bpr,SEC,16,1.8326198279253783,1.7838219629309882,-0.6079468037579254,1.754375,1.1464281962420746
bpr,Summit League,2,1.76457531660966,1.76457531660966,0.4278557465628188,0.125,0.5528557465628189
bpr,Patriot,7,1.6477753009755403,1.8071771225489972,0.025611162983073626,1.3542857142857143,1.379896877268788
bpr,AmEast,3,1.6166437445014423,1.7094954281560155,1.6166437445014423,0.62,2.236643744501442
bpr,CAA,5,1.6154728434076833,1.7723082072985896,0.7775891783850766,0.054000000000000006,0.8315891783850766
bpr,GLVC,2,1.571521243635556,1.571521243635556,-0.7838170048551012,1.6199999999999999,0.8361829951448986
bpr,PAC 12,8,1.5710853220138898,0.9840970717727369,1.122469429344251,-0.8487499999999999,0.2737194293442512
bpr,Big East,16,1.5661677004488173,1.5282102228108754,0.23905224871634023,1.599375,1.8384272487163402
bpr,MAC,5,1.5523096999028183,1.4399379900080254,-0.9979926113356665,1.828,0.8300073886643338
bpr,West Coast,8,1.5430061189603705,1.266668105282473,0.050922793176929215,0.63375,0.6846727931769292
bpr,A-10,11,1.53915071326308,1.7598735813208668,-0.4177486251307929,1.6354545454545457,1.2177059203237526
bpr,Big XII,5,1.5264163469520056,1.4546407205715868,-1.1381315663605278,2.4799999999999995,1.341868433639472
bpr,Big West,18,1.5013986148315415,1.1718707709724399,-0.03445073988797984,0.9305555555555556,0.8961048156675757
bpr,Ind,1,1.4542102552393668,1.4542102552393668,1.4542102552393668,-0.01,1.4442102552393667
bpr,Pac-12,16,1.4431619299267804,1.1909931048935474,-0.34617252067517534,1.9068749999999999,1.5607024793248245
bpr,WCC,13,1.4121267926457803,1.1251606341752114,0.08874243826624041,1.419230769230769,1.5079732074970096
bpr,AAC,9,1.4042747672961278,1.6341187107225532,-0.5111058214705965,1.8855555555555554,1.3744497340849593
bpr,WAC,16,1.3905847166884913,1.4689188607919703,0.05792569668489449,1.293125,1.3510506966848945
bpr,Big Ten,14,1.3495719671882611,0.9692155938590313,-1.1439650738682638,2.7378571428571425,1.5938920689888791
bpr,CUSA,10,1.3186674168477015,0.8136726097785325,0.34762897960373246,1.0630000000000002,1.4106289796037323
bpr,MAAC,10,1.2858610899301677,1.2334961330215202,0.3512371307281845,0.696,1.0472371307281845
