"Eron Gordon",Valparaiso,MVC,30,47.5,86.6,12.5,44.4,48.8,1.1,17.8,9.3,24.1,19,24,0.792,20,44,0.455,13,45,0.289,1.9,1.6,27,Sr,6-3,10,-0.540687,77.197,2,2022,45571,"Indianapolis, IN",68.8,1.20000000,18,31,2,13,0.5806,0.1538,1,1,1.0000,,105.204,104.403,1.51603,101.618,-2.59604,-3.05564,0.459596,-2.94342,19.4375,-2.88279,-0.0606233,0.1875,2.9062,3.0938,1.1250,0.5000,0.3438,3.1562,"Wing G",4.6792,1997-11-07
"Mitch Lightfoot",Kansas,B12,40,30.2,113.7,17.8,66.5,64.83,10.4,15.4,5.6,20.6,23,44,0.523,79,119,0.664,1,2,0.5,7.2,1.2,36.4,Sr,6-8,44,1.41646,119.171,7.2,2022,45620,"Gilbert, AZ",77.0,0.48387098,51,69,28,50,0.7391,0.5600,15,16,0.9375,,94.0834,88.8892,1.61509,102.442,7.85042,2.87056,4.97985,4.31592,12.2000,0.696363,3.61956,1.0500,1.7500,2.8000,0.3750,0.2500,0.8500,4.6000,C,0.236054,1997-07-14
"Nate Johnson",Xavier,BE,32,61.8,106.4,17.2,52.6,55.49,1.1,9.2,8.1,14.1,48,62,0.774,37,83,0.446,69,184,0.375,1.5,1.6,23.2,Sr,6-4,10,2.12665,107.201,2.3,2022,45625,"Miami, FL",,1.02635785,18,35,19,48,0.5143,0.3958,3,4,0.7500,,102.834,98.971,2.7727,145.127,2.42539,2.50033,-0.0749357,2.34919,28.2188,1.79706,0.552131,0.2812,2.3125,2.5938,1.2188,0.7812,0.4062,10.2812,"Combo G",11.8039,1998-04-25
"Drew Buggs",Winthrop,BSth,29,61.6,103.2,19,53.6,54.95,2.4,11.3,31.6,27,24,38,0.632,55,105,0.524,18,48,0.375,0.8,1.8,24.8,Sr,6-3,11,1.34574,101.133,2.5,2022,45642,"Long Beach, CA",27.6,1.91544973,40,69,15,36,0.5797,0.4167,0,0,,,104.592,106.381,1.79744,124.319,-1.3256,-0.151825,-1.17377,-1.46913,24.4688,-0.289917,-1.17921,0.5312,2.3438,2.8750,4.2500,0.7188,0.2188,6.1562,"Scoring PG",3.84554,1997-09-23
"DJ Jones","Florida A&M",SWAC,28,68.7,88.8,18.3,48.1,48.6,6.9,17.2,5.4,20.1,15,28,0.536,102,210,0.486,0,2,0,5.1,1.2,13.2,Sr,6-9,25,-0.0164597,85.2252,4.9,2022,45744,"Brusly Rouge, LA",,0.41999159,58,90,47,129,0.6444,0.3643,16,20,0.8000,,100.425,105.426,2.09432,149.751,-3.84875,-4.46589,0.61714,-4.73588,27.3000,-4.18907,-0.546807,1.6000,4.1667,5.7667,0.7000,0.5333,1.2333,7.8667,C,0.153441,1998-08-27
"Keith Fisher III",Pepperdine,WCC,16,33.5,93.4,19.5,43.7,47.12,8.1,17.9,9.1,16.5,23,32,0.719,42,89,0.472,9,38,0.237,0.5,0.7,25.2,Sr,6-8,3,0.76718,93.9064,5.5,2022,45815,"Los Angeles, CA",32.0,0.87498224,26,43,16,46,0.6047,0.3478,5,5,1.0000,,109.125,108.434,1.70986,72.6178,-2.92897,-1.37388,-1.55509,-3.80081,26.0588,-2.63391,-1.16691,1.9412,4.4706,6.4118,1.2353,0.3529,0.1176,8.5882,"Stretch 4",5.10426,1998-10-15
"Ben Coupet Jr.","Southern Illinois",MVC,30,73.1,109.7,19.5,54.9,58.62,4.7,16.6,5.8,13.7,65,85,0.765,53,112,0.473,51,124,0.411,1,0.9,36,Sr,6-7,25,2.44724,109.523,2.1,2022,45818,"Chicago, IL",,0.71055634,43,78,10,34,0.5513,0.2941,10,12,0.8333,,100.363,99.9161,2.78774,137.468,0.991736,1.10268,-0.110943,1.67803,29.2258,2.04137,-0.363339,1.0323,3.5806,4.6129,0.8710,0.4516,0.2581,10.9677,"Wing F",8.96197,1998-01-28
"Kenny Cooper","Tennessee St.",OVC,28,71.5,99.5,15.9,40.8,47.27,1.8,10,21,19.1,56,73,0.767,34,117,0.291,26,62,0.419,1,2.6,40.8,Sr,6-1,21,0.664493,91.646,2.7,2022,45823,"Nashville, TN",,2.34787700,22,58,12,59,0.3793,0.2034,0,0,,,102.993,107.827,2.08143,153.774,-0.71375,-0.575212,-0.138538,-0.874006,30.2000,-1.41632,0.542315,0.4333,2.6333,3.0667,3.6000,1.3333,0.2333,7.1667,"Scoring PG",4.1743,1998-08-14
"Monty Scott","Eastern Michigan",MAC,27,61.2,92.9,21.5,46.4,47.6,1.2,9.2,15.8,14.6,29,50,0.58,74,162,0.457,32,101,0.317,0.3,2.3,19,Sr,6-5,2,0.653393,92.3371,2.5,2022,45828,"Union, NJ",,1.34090617,37,71,35,85,0.5211,0.4118,0,0,,,107.204,107.623,1.86201,131.096,-2.40382,-0.851422,-1.5524,-2.64117,27.7857,-1.79269,-0.848483,0.3571,2.2500,2.6071,2.1071,1.1786,0.0714,10.1786,"Combo G",7.5825,1997-10-15
"Nick Hopkins",Siena,MAAC,28,60.8,106.8,16.3,52.8,54.31,2.4,8.7,9.7,12.8,17,22,0.773,30,69,0.435,48,124,0.387,0.4,3.5,11.4,Sr,6-0,0,1.26853,99.9259,2,2022,45835,"Fayetteville, TN",,1.31996860,7,14,23,55,0.5000,0.4182,0,0,,,101.414,103.501,2.08659,128.617,1.97821,1.85459,0.123615,1.85417,25.5000,0.518016,1.33615,0.5000,1.8929,2.3929,1.1786,1.5000,0.1071,7.8929,"Combo G",10.3839,1997-11-16
