player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,missing_column
Juan Sebastian Gorosito,WCC,D1,Ball State,San Diego,2024-25,2025-26,big_west_obpr
Toni Rocak,WCC,D1,UC San Diego,San Francisco,2021-22,2022-23,big_west_obpr
Robby Beasley,WCC,D1,UC Davis,San Francisco,2022-23,2023-24,big_west_obpr
Stefan Todorovic,WCC,D1,SMU,San Francisco,2022-23,2023-24,big_west_obpr
Jason Rivera-Torres,WCC,D1,Vanderbilt,San Francisco,2023-24,2024-25,big_west_obpr
Aidan Braccia,WCC,D1,Belmont,San Francisco,2024-25,2025-26,big_west_obpr
Carlos Marshall,WCC,D1,Tennessee State,Santa Clara,2021-22,2022-23,big_west_obpr
Aleksandar Gavalyugov,WCC,D1,Villanova,Santa Clara,2024-25,2025-26,big_west_obpr
Juan Reyna,WCC,D1,Jackson State,Santa Clara,2024-25,2025-26,big_west_obpr
Tredyn Christensen,WCC,D2,Chaminade,BYU,2021-22,2022-23,big_west_obpr
Alex Leiba,WCC,D2,Penn State Harrisburg,Pepperdine,2023-24,2024-25,big_west_obpr
Noah Jordan,WCC,D2,West Virginia State,Portland,2022-23,2023-24,big_west_obpr
Elliyas Delaire,WCC,D2,Lewis & Clark,San Diego,2021-22,2022-23,big_west_obpr
Mohamed Sylla,Mountain West,D1,Detroit Mercy,Boise State,2021-22,2022-23,big_west_obpr
Josiah Strong,Mountain West,D1,Illinois State,Colorado State,2021-22,2022-23,big_west_obpr
Javonte Johnson,Mountain West,D1,New Mexico,Colorado State,2022-23,2023-24,big_west_obpr
Nikola Djapa,Mountain West,D1,LIU,Colorado State,2023-24,2024-25,big_west_obpr
