player_name,source_school,source_season,target_conference,source_level,source_games,college_stat_seasons_before_transfer,college_stat_seasons_source,source_url,outcome_url,needs_manual_review
Dionte Bostick,Murray State,2021-22,Big West,D1,16,2.0,data/cache/sports_reference_d1_profile_audit/dionte-bostick-1.html,https://www.sports-reference.com/cbb/schools/murray-state/men/2022.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2023.html,False
Mac Riniker,Colorado Mesa,2023-24,Big West,D2,22,4.0,data/cache/sports_reference_d2_outcome_audit/mac-riniker-1.html,https://cmumavericks.com/sports/mens-basketball/stats/2023-24,https://www.sports-reference.com/cbb/players/mac-riniker-1.html,False
Onyi Eyisi,Fordham,2020-21,Big West,D1,14,3.0,data/cache/sports_reference_d1_profile_audit/onyi-eyisi-1.html,https://www.sports-reference.com/cbb/schools/fordham/men/2021.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2022.html,False
Ronald Jessamy,Tennessee State,2024-25,Big West,D1,26,2.0,data/cache/sports_reference_roster_diff_profiles/ron-jessamy-1.html,https://www.sports-reference.com/cbb/schools/tennessee-state/men/2025.html,https://gorunners.com/sports/mens-basketball/stats/2025-26,False
"De'Undrae Perteete, Jr.",Westmont,2024-25,Big West,D2,29,1.0,manual_college_stat_seasons_override: https://basketball.realgm.com/player/DeUndrae-Perteete-Jr/Summary/241702 (2024-25 Westmont; no earlier college stat season found; then UC Riverside),https://athletics.westmont.edu/sports/mens-basketball/roster/de-undrae-perteete/9474,https://www.sports-reference.com/cbb/schools/california-riverside/men/2026.html,False
Joel Armotrading,Cal Poly,2023-24,Big West,D1,30,4.0,data/cache/sports_reference_d1_profile_audit/joel-armotrading-1.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html,https://www.sports-reference.com/cbb/schools/california-riverside/men/2025.html,False
Chance Hunter,California Baptist,2021-22,Big West,D1,29,3.0,data/cache/sports_reference_d1_profile_audit/chance-hunter-1.html,https://www.sports-reference.com/cbb/players/chance-hunter-1.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2023.html,False
Jarred Hyder,California,2021-22,Big West,D1,22,3.0,data/cache/sports_reference_d1_profile_audit/jarred-hyder-1.html,https://www.sports-reference.com/cbb/schools/california/men/2022.html,https://www.sports-reference.com/cbb/schools/cal-poly/men/2024.html,False
Marcus Tsohonis,VCU,2021-22,Big West,D1,29,3.0,data/cache/sports_reference_roster_diff_profiles/marcus-tsohonis-1.html;data/cache/sports_reference_d1_profile_audit/marcus-tsohonis-1.html,https://www.sports-reference.com/cbb/schools/virginia-commonwealth/men/2022.html,https://www.sports-reference.com/cbb/schools/long-beach-state/men/2023.html,False
Jordan Brinson,Fresno State,2022-23,Big West,D1,3,4.0,data/cache/sports_reference_d1_profile_audit/jordan-brinson-1.html,https://www.sports-reference.com/cbb/schools/fresno-state/men/2023.html,https://www.sports-reference.com/cbb/schools/cal-state-northridge/men/2024.html,False
