target_conference,first_target_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
Atlantic 10,2025-26,Duquesne,Tarence Guinyard,2025-26,Duquesne,A-10,SR,G,32,32,33.3,1065.6,0.8324999999999999,16.6,3.3,4.7,1.3,0.0,2.2,0.45,0.36,0.714,0.546,0.5920114122681883,0.5344827586206897,0.47413793103448276,18.6,0.584,24.5,2.7,1.2,3.9,0.148,3.7,https://www.sports-reference.com/cbb/players/tarence-guinyard-1.html
Atlantic 10,2022-23,Fordham,Khalid Moore,2022-23,Fordham,A-10,SR,F,33,33,31.2,1029.6,0.78,15.7,6.7,1.8,1.1,0.3,2.7,0.486,0.351,0.771,0.532,0.595780206435944,0.25925925925925924,0.5,20.6,0.586,25.6,2.4,1.9,4.3,0.166,3.5,https://www.sports-reference.com/cbb/players/khalid-moore-1.html
Atlantic 10,2024-25,Fordham,Jackie Johnson,2024-25,Fordham,A-10,SR,G,33,32,30.3,999.9,0.7575000000000001,19.5,2.9,2.5,1.5,0.0,2.8,0.44,0.35,0.736,0.525,0.5523453433038749,0.4876543209876544,0.2037037037037037,19.2,0.548,32.8,1.6,0.8,2.4,0.096,2.7,https://www.sports-reference.com/cbb/players/jackie-johnsoniii-1.html
Atlantic 10,2025-26,Fordham,Akira Jacobs,2025-26,Fordham,A-10,JR,F,32,30,28.4,908.8,0.71,7.2,4.8,0.9,0.5,0.1,0.6,0.408,0.333,0.758,0.52,0.5504587155963303,0.6721311475409836,0.1639344262295082,10.7,0.541,13.1,1.1,1.6,2.7,0.12,-1.1,https://www.sports-reference.com/cbb/players/akira-jacobs-1.html
Atlantic 10,2025-26,Fordham,Jack Whitbourn,2025-26,Fordham,A-10,SO,C,11,9,23.8,261.8,0.595,8.4,8.4,0.7,0.5,0.3,1.2,0.459,0.2,0.857,0.471,0.5077369439071567,0.11688311688311688,0.16883116883116883,17.9,0.502,20.5,0.3,0.6,0.9,0.138,0.7,https://www.sports-reference.com/cbb/players/jack-whitbourn-1.html
Atlantic 10,2025-26,Fordham,Marcus Greene,2025-26,Fordham,A-10,SR,G,31,10,15.9,492.90000000000003,0.3975,4.7,0.9,0.7,0.5,0.1,0.3,0.409,0.337,0.625,0.53,0.5302346570397113,0.7209302325581396,0.06976744186046512,9.9,0.534,15.0,0.6,0.8,1.4,0.112,-2.6,https://www.sports-reference.com/cbb/players/marcus-greene-1.html
Atlantic 10,2025-26,Fordham,Rikus Schulte,2025-26,Fordham,A-10,JR,F,32,32,30.0,960.0,0.75,10.7,9.1,1.4,1.5,0.6,1.9,0.563,0.222,0.62,0.575,0.5944444444444444,0.10126582278481013,0.3164556962025316,20.3,0.585,18.8,1.6,2.4,4.0,0.166,2.4,https://www.sports-reference.com/cbb/players/rikus-schulte-1.html
Atlantic 10,2023-24,George Mason,Keyshawn Hall,2023-24,George Mason,A-10,SO,G,29,28,30.6,887.4000000000001,0.765,16.6,8.1,1.4,0.4,0.3,2.3,0.474,0.357,0.844,0.533,0.5942153493699885,0.3361344537815126,0.3949579831932773,22.0,0.589,28.6,2.3,1.6,3.9,0.176,3.7,https://www.sports-reference.com/cbb/players/keyshawn-hall-1.html
Atlantic 10,2025-26,George Washington,Tre Dinkins,2025-26,George Washington,A-10,SR,G,35,1,21.1,738.5,0.5275000000000001,8.8,1.7,1.8,0.5,0.1,1.2,0.386,0.382,0.8,0.542,0.5661348430262481,0.8055555555555555,0.18055555555555555,13.1,0.565,20.4,1.3,0.7,2.1,0.111,1.7,https://www.sports-reference.com/cbb/players/tre-dinkins-1.html
Atlantic 10,2022-23,La Salle,Fousseyni Drame,2022-23,La Salle,A-10,SR,F,34,25,26.1,887.4000000000001,0.6525000000000001,8.8,5.3,0.7,1.0,0.8,1.1,0.43,0.26,0.613,0.467,0.4961659900766802,0.29113924050632906,0.27848101265822783,14.9,0.488,19.5,0.9,1.1,2.0,0.091,-0.6,https://www.sports-reference.com/cbb/players/fousseyni-drame-1.html
