first_wcc_season,destination_school,player_name,sr_season,sr_team,sr_conf,class,position,games,games_started,mpg,minutes,minutes_share,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,ts_pct,three_rate,ft_rate,per,ts_pct_advanced,usg_pct,ows,dws,ws,ws_per_40,bpm,source_url
2024-25,Loyola Marymount,Matar Diop,2024-25,Loyola Marymount,WCC,SO,F,17,3,8.7,147.89999999999998,0.21749999999999997,1.8,2.2,0.4,0.1,0.2,0.7,0.588,0.0,0.588,0.588,0.625,0.0,1.0,10.7,0.598,13.1,0.1,0.2,0.3,0.075,-4.9,https://www.sports-reference.com/cbb/players/matar-diop-1.html
2024-25,Loyola Marymount,MJ Amey,2024-25,Loyola Marymount,WCC,SR,G,32,4,20.5,656.0,0.5125,8.6,2.7,0.7,1.3,0.1,0.8,0.391,0.304,0.821,0.469,0.5123927550047664,0.5131578947368421,0.2368421052631579,14.8,0.508,23.5,0.5,1.0,1.5,0.092,0.5,https://www.sports-reference.com/cbb/players/myron-mj-ameyjr-1.html
2025-26,Loyola Marymount,Jalen Shelley,2025-26,Loyola Marymount,WCC,SO,F,25,25,31.1,777.5,0.7775000000000001,13.7,6.6,2.7,0.7,0.6,2.3,0.457,0.287,0.704,0.506,0.5558260305095747,0.3398058252427184,0.44660194174757273,16.7,0.547,24.4,1.0,1.3,2.3,0.118,1.7,https://www.sports-reference.com/cbb/players/jalen-shelley-1.html
2025-26,Loyola Marymount,Nakyel Shelton,2025-26,Loyola Marymount,WCC,SR,G,28,0,8.9,249.20000000000002,0.2225,2.8,0.9,0.4,0.2,0.1,0.4,0.463,0.385,0.85,0.556,0.6340579710144928,0.4736842105263158,0.3684210526315789,11.0,0.606,15.6,0.3,0.3,0.6,0.099,-2.9,https://www.sports-reference.com/cbb/players/nakyel-shelton-1.html
2025-26,Loyola Marymount,Rodney Brown,2025-26,Loyola Marymount,WCC,JR,G,31,30,32.3,1001.3,0.8074999999999999,14.0,2.4,1.7,0.7,0.1,1.5,0.425,0.382,0.83,0.548,0.5715218811234487,0.6434782608695653,0.14782608695652175,13.5,0.569,21.9,1.4,1.1,2.5,0.1,0.8,https://www.sports-reference.com/cbb/players/rodney-brown-jr-1.html
2025-26,Loyola Marymount,Rokas Jocius,2025-26,Loyola Marymount,WCC,SR,C,32,15,12.5,400.0,0.3125,3.2,3.0,0.4,0.2,0.3,0.7,0.545,0.438,0.522,0.591,0.5908419497784344,0.20833333333333334,0.2916666666666667,11.7,0.586,14.1,0.4,0.6,1.0,0.101,-2.3,https://www.sports-reference.com/cbb/players/rokas-jocius-1.html
2025-26,Oregon State,Dez White,2025-26,Oregon State,WCC,JR,G,30,28,29.6,888.0,0.74,9.7,2.7,2.1,0.9,0.1,1.3,0.376,0.379,0.791,0.506,0.5320315928038614,0.6823529411764706,0.16470588235294117,11.0,0.53,18.9,0.7,0.7,1.3,0.059,-0.1,https://www.sports-reference.com/cbb/players/dez-white-1.html
2025-26,Oregon State,Jorge Diaz Graham,2025-26,Oregon State,WCC,SR,F,32,11,17.9,572.8,0.44749999999999995,6.0,3.6,1.0,0.5,1.0,0.8,0.433,0.365,0.831,0.529,0.6177924217462932,0.5263157894736842,0.631578947368421,17.1,0.61,17.1,1.1,0.8,1.8,0.128,4.4,https://www.sports-reference.com/cbb/players/jorge-diaz-graham-1.html
2025-26,Oregon State,Malcolm Christie,2025-26,Oregon State,WCC,SR,G,15,0,13.3,199.5,0.3325,4.6,1.0,0.2,0.3,0.1,0.3,0.362,0.396,0.75,0.543,0.558252427184466,0.8974358974358975,0.12820512820512822,10.5,0.558,18.0,0.2,0.1,0.3,0.058,-0.5,https://www.sports-reference.com/cbb/players/malcolm-christie-1.html
2025-26,Oregon State,Noah Amenhauser,2025-26,Oregon State,WCC,JR,C,29,8,12.2,353.79999999999995,0.305,5.1,2.2,0.4,0.0,0.5,0.8,0.577,0.0,0.7,0.577,0.6299407114624506,0.0,0.5151515151515151,16.4,0.609,21.8,0.6,0.3,0.8,0.094,-0.7,https://www.sports-reference.com/cbb/players/noah-amenhauser-1.html
