player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_url,barttorvik_player_name,barttorvik_team,match_status,source_file
Garrison Wade,garrison-wade,Cal State Fullerton,cal-state-fullerton,2022-23,0.439672,https://barttorvik.com/playerstat.php?year=2023&p=66540,Garrison Wade,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2023.csv
Modestas Kancleris,modestas-kancleris,Cal State Bakersfield,cal-state-bakersfield,2022-23,-0.232197,https://barttorvik.com/playerstat.php?year=2023&p=72697,Modestas Kancleris,Cal St. Bakersfield,matched_player_and_team,Bart data/trank_data_2023.csv
"Pierre Geneste, Jr.",pierre-geneste-jr,Cal State Bakersfield,cal-state-bakersfield,2025-26,-0.0335674,https://barttorvik.com/playerstat.php?year=2026&p=76884,Pierre Geneste Jr.,Cal St. Bakersfield,matched_player_and_team,Bart data/trank_data_2026.csv
Nils Cooper,nils-cooper,UC Davis,uc-davis,2024-25,0.586606,https://barttorvik.com/playerstat.php?year=2025&p=78656,Nils Cooper,UC Davis,matched_player_and_team,Bart data/trank_data_2025.csv
Julien Franklin,julien-franklin,Cal Poly,cal-poly,2021-22,-0.497361,https://barttorvik.com/playerstat.php?year=2022&p=71459,Julien Franklin,Cal Poly,matched_player_and_team,Bart data/trank_data_2022.csv
Cole Farrell,cole-farrell,Long Beach State,long-beach-state,2025-26,-0.152092,https://barttorvik.com/playerstat.php?year=2026&p=77000,Cole Farrell,Long Beach St.,matched_player_and_team,Bart data/trank_data_2026.csv
Maximo Milovich,maximo-milovich,UC San Diego,uc-san-diego,2024-25,0.784939,https://barttorvik.com/playerstat.php?year=2025&p=127348,Maximo Milovich,UC San Diego,matched_player_and_team,Bart data/trank_data_2025.csv
Cameron Wilbon,cameron-wilbon,Cal State Bakersfield,cal-state-bakersfield,2023-24,0.268573,https://barttorvik.com/playerstat.php?year=2024&p=65790,Cameron Wilbon,Cal St. Bakersfield,matched_player_and_team,Bart data/trank_data_2024.csv
Yacine Toumi,yacine-toumi,Hawaii,hawaii,2025-26,0.440821,https://barttorvik.com/playerstat.php?year=2026&p=72710,Yacine Toumi,Hawaii,matched_player_and_team,Bart data/trank_data_2026.csv
Grady Lewis,grady-lewis,Cal State Northridge,cal-state-northridge,2024-25,0.996115,https://barttorvik.com/playerstat.php?year=2025&p=126570,Grady Lewis,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2025.csv
