first_wcc_season,destination_school,player_name,source_school,source_conference,source_level,source_season,class,position,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,source_url,candidate_action
2022-23,Pepperdine,Boubacar Coulibaly,Southern California,Pac-12,D1,2021-22,SO,F,6,3.8,1.7,1.7,0.3,0.0,0.3,0.0,.600,,.667,.600,https://www.sports-reference.com/cbb/players/boubacar-coulibaly-1.html,add_transfer_row_and_d1_source_stats
2023-24,Pepperdine,Ethan Anderson,Wyoming,MWC,D1,2022-23,SR,G,21,24.9,7.9,4.3,2.9,0.3,0.2,2.0,.540,.313,.466,.560,https://www.sports-reference.com/cbb/players/ethan-anderson-1.html,add_transfer_row_and_d1_source_stats
2024-25,Pepperdine,Alonso Faure,Loyola (MD),Patriot,D1,2023-24,SR,F,32,20.5,7.8,5.6,1.0,0.4,0.4,1.8,.490,.300,.635,.513,https://www.sports-reference.com/cbb/players/alonso-faure-1.html,add_transfer_row_and_d1_source_stats
2024-25,Pepperdine,Mike Saunders,McNeese State,Southland,D1,2023-24,JR,G,18,16.9,6.0,1.3,1.6,0.4,0.0,0.6,.515,.381,.780,.576,https://www.sports-reference.com/cbb/players/mike-saundersjr-1.html,add_transfer_row_and_d1_source_stats
2024-25,Pepperdine,Moe Odum,Pacific,WCC,D1,2023-24,SO,G,32,28.3,8.7,2.6,4.6,1.2,0.1,1.8,.368,.296,.733,.437,https://www.sports-reference.com/cbb/players/moe-odum-1.html,add_transfer_row_and_d1_source_stats
2024-25,Pepperdine,Stefan Todorovic,San Francisco,WCC,D1,2023-24,JR,F,22,9.7,3.8,1.5,0.4,0.3,0.0,0.4,.400,.289,.882,.493,https://www.sports-reference.com/cbb/players/stefan-todorovic-1.html,add_transfer_row_and_d1_source_stats
2024-25,Pepperdine,Zion Bethea,Delaware,CAA,D1,2023-24,SO,G,3,14.3,2.7,1.3,0.3,0.0,0.0,0.7,.231,.250,,.308,https://www.sports-reference.com/cbb/players/zion-bethea-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pepperdine,Aaron Clark,Wake Forest,ACC,D1,2023-24,FR,G,7,4.6,0.0,0.1,0.1,0.6,0.3,0.1,.000,.000,,.000,https://www.sports-reference.com/cbb/players/aaron-clark-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pepperdine,Javon Cooley,Marist,MAAC,D1,2023-24,SR,F,31,24.8,7.5,4.2,0.6,0.9,0.5,0.9,.542,.475,.854,.676,https://www.sports-reference.com/cbb/players/javon-cooley-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pepperdine,Pavle Stosic,Gonzaga,WCC,D1,2023-24,FR,F,14,3.4,1.0,0.8,0.1,0.1,0.2,0.4,.375,.000,.500,.375,https://www.sports-reference.com/cbb/players/pavle-stosic-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pepperdine,Preston Phillips,Evansville,MVC,D1,2022-23,SO,F,31,19.5,3.9,3.7,1.0,0.7,0.5,1.0,.542,.346,.590,.596,https://www.sports-reference.com/cbb/players/preston-phillips-2.html,add_transfer_row_and_d1_source_stats
2025-26,Pepperdine,Stefan Cicic,Tulane,AAC,D1,2024-25,FR,C,3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,.000,,,.000,https://www.sports-reference.com/cbb/players/stefan-cicic-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pepperdine,Styles Phipps,Grand Canyon,WAC,D1,2024-25,FR,G,20,7.9,2.1,1.2,1.1,0.8,0.0,0.7,.452,.143,.600,.468,https://www.sports-reference.com/cbb/players/styles-phipps-1.html,add_transfer_row_and_d1_source_stats
2025-26,Pepperdine,Yonatan Levy,Green Bay,Horizon,D1,2024-25,FR,F,13,23.9,7.8,6.1,2.6,0.9,0.5,2.4,.373,.318,.864,.407,https://www.sports-reference.com/cbb/players/yonatan-levy-1.html,add_transfer_row_and_d1_source_stats
2022-23,Portland,Alden Applewhite,Mississippi State,SEC,D1,2021-22,FR,F,2,3.5,1.0,2.0,0.0,0.0,0.0,0.5,.000,.000,1.000,.000,https://www.sports-reference.com/cbb/players/alden-applewhite-1.html,add_transfer_row_and_d1_source_stats
2022-23,Portland,Joey St. Pierre,Milwaukee,Horizon,D1,2021-22,JR,C,31,23.7,6.3,5.7,0.8,0.4,1.4,1.5,.590,,.481,.590,https://www.sports-reference.com/cbb/players/joey-stpierre-1.html,add_transfer_row_and_d1_source_stats
2022-23,Portland,Wyatt Lowell,Brigham Young,WCC,D1,2020-21,SO,F,7,6.3,2.0,1.1,0.1,0.0,0.0,0.1,.286,.250,.750,.393,https://www.sports-reference.com/cbb/players/wyatt-lowell-1.html,add_transfer_row_and_d1_source_stats
2023-24,Portland,Alimamy Koroma,Cal Poly,Big West,D1,2022-23,SR,F,33,26.0,10.8,4.3,0.4,0.4,0.9,1.8,.479,.306,.771,.507,https://www.sports-reference.com/cbb/players/alimamy-koroma-1.html,add_transfer_row_and_d1_source_stats
2023-24,Portland,Yuto Yamanouchi,Lamar,Southland,D1,2022-23,FR,C,28,21.5,6.9,7.1,0.3,0.2,0.8,1.2,.407,.167,.753,.413,https://www.sports-reference.com/cbb/players/yuto-yamanouchi-1.html,add_transfer_row_and_d1_source_stats
2024-25,Portland,Jermaine Ballisager-Webb,American,Patriot,D1,2023-24,SO,C,22,13.2,7.4,3.8,0.4,0.1,0.2,1.2,.581,,.625,.581,https://www.sports-reference.com/cbb/players/jermaine-ballisager-webb-1.html,add_transfer_row_and_d1_source_stats
2024-25,Portland,Max Mackinnon,Elon,CAA,D1,2023-24,SO,G,32,27.1,12.1,4.8,2.6,0.8,0.2,2.1,.450,.364,.702,.527,https://www.sports-reference.com/cbb/players/max-mackinnon-1.html,add_transfer_row_and_d1_source_stats
2024-25,Portland,Mezziah Oakman,UC Santa Barbara,Big West,D1,2023-24,JR,C,1,5.0,0.0,2.0,0.0,0.0,0.0,0.0,,,,,https://www.sports-reference.com/cbb/players/mezziah-oakman-1.html,add_transfer_row_and_d1_source_stats
2025-26,Portland,James O'Donnell,San Francisco,WCC,D1,2024-25,FR,F,35,12.6,2.1,2.6,0.5,0.3,0.4,0.8,.574,,.406,.574,https://www.sports-reference.com/cbb/players/james-odonnell-2.html,add_transfer_row_and_d1_source_stats
2025-26,Portland,Matus Hronsky,Duquesne,A-10,D1,2024-25,JR,F,32,17.0,5.2,1.9,0.9,0.6,0.1,0.8,.369,.353,.750,.484,https://www.sports-reference.com/cbb/players/matus-hronsky-1.html,add_transfer_row_and_d1_source_stats
2025-26,Portland,Riley Parker,Saint Francis (PA),NEC,D1,2024-25,JR,G,34,31.7,13.4,3.5,3.3,0.9,0.1,2.5,.481,.396,.851,.575,https://www.sports-reference.com/cbb/players/riley-parker-1.html,add_transfer_row_and_d1_source_stats
2024-25,Saint Mary's,Ashton Hardaway,Memphis,AAC,D1,2023-24,FR,F,30,8.2,2.3,0.8,0.4,0.2,0.2,0.4,.343,.333,.600,.464,https://www.sports-reference.com/cbb/players/ashton-hardaway-1.html,add_transfer_row_and_d1_source_stats
2024-25,Saint Mary's,Paulius Murauskas,Arizona,Pac-12,D1,2023-24,FR,F,23,5.0,2.7,1.2,0.1,0.1,0.0,0.3,.438,.519,.700,.583,https://www.sports-reference.com/cbb/players/paulius-murauskas-1.html,add_transfer_row_and_d1_source_stats
2025-26,Saint Mary's,Jazz Gardner,Pacific,WCC,D1,2024-25,SO,C,33,17.6,4.6,3.8,0.4,0.2,0.6,0.6,.602,.500,.444,.606,https://www.sports-reference.com/cbb/players/jazz-gardner-1.html,add_transfer_row_and_d1_source_stats
2025-26,Saint Mary's,Tony Duckett,San Diego,WCC,D1,2024-25,FR,G,29,25.7,10.4,2.0,1.9,0.7,0.3,1.2,.386,.338,.873,.428,https://www.sports-reference.com/cbb/players/tony-duckett-2.html,add_transfer_row_and_d1_source_stats
