first_wcc_season,destination_school,destination_school_slug,player_name,player_key,class,position,height,weight,sports_reference_player_url,roster_cache_path,previous_team_roster_status,profile_cache_status,profile_prior_season,profile_prior_school,profile_prior_conf,profile_prior_level_guess,profile_transfer_candidate,candidate_action,audit_status
2022-23,Gonzaga,gonzaga,Malachi Smith,malachi smith,SR,G,6-4,205,https://www.sports-reference.com/cbb/players/malachi-smith-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,not_on_previous_roster,cached,2021-22,Chattanooga,Southern,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2022-23,Gonzaga,gonzaga,Nolan Hickman,nolan hickman,SO,G,6-2,185,https://www.sports-reference.com/cbb/players/nolan-hickman-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,returning_same_roster,cached,2021-22,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2022-23,Gonzaga,gonzaga,Rasir Bolton,rasir bolton,SR,G,6-3,185,https://www.sports-reference.com/cbb/players/rasir-bolton-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2023.html,returning_same_roster,cached,2021-22,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2023-24,Gonzaga,gonzaga,Anton Watson,anton watson,SR,F,6-8,225,https://www.sports-reference.com/cbb/players/anton-watson-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,returning_same_roster,cached,2022-23,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2023-24,Gonzaga,gonzaga,Ben Gregg,ben gregg,JR,F,6-10,225,https://www.sports-reference.com/cbb/players/ben-gregg-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,returning_same_roster,cached,2022-23,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2023-24,Gonzaga,gonzaga,Braden Huff,braden huff,FR,F,6-10,235,https://www.sports-reference.com/cbb/players/braden-huff-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
2023-24,Gonzaga,gonzaga,Colby Brooks,colby brooks,JR,F,6-7,210,https://www.sports-reference.com/cbb/players/colby-brooks-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,returning_same_roster,cached,2022-23,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2023-24,Gonzaga,gonzaga,Dusty Stromer,dusty stromer,FR,G,6-6,192,https://www.sports-reference.com/cbb/players/dusty-stromer-2.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
2023-24,Gonzaga,gonzaga,Graham Ike,graham ike,JR,F,6-9,245,https://www.sports-reference.com/cbb/players/graham-ike-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,2022-23,Did not play - injury/redshirt,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
2023-24,Gonzaga,gonzaga,Joe Few,joe few,SO,G,6-0,160,https://www.sports-reference.com/cbb/players/joe-few-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,2022-23,Did not play - injury/redshirt,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
2023-24,Gonzaga,gonzaga,Jun Seok Yeo,jun seok yeo,SO,F,6-8,215,https://www.sports-reference.com/cbb/players/jun-seok-yeo-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,2022-23,Did not play - overseas,,,TRUE,find_source_stats_or_review,possible_transfer
2023-24,Gonzaga,gonzaga,Luka Krajnović,luka krajnovic,FR,G,6-5,185,https://www.sports-reference.com/cbb/players/luka-krajnovic-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
2023-24,Gonzaga,gonzaga,Nolan Hickman,nolan hickman,JR,G,6-2,185,https://www.sports-reference.com/cbb/players/nolan-hickman-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,returning_same_roster,cached,2022-23,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2023-24,Gonzaga,gonzaga,Pavle Stosic,pavle stosic,FR,F,6-9,215,https://www.sports-reference.com/cbb/players/pavle-stosic-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
2023-24,Gonzaga,gonzaga,Ryan Nembhard,ryan nembhard,JR,G,6-0,167,https://www.sports-reference.com/cbb/players/ryan-nembhard-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2024.html,not_on_previous_roster,cached,2022-23,Creighton,Big East,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Gonzaga,gonzaga,Ben Gregg,ben gregg,SR,F,6-10,225,https://www.sports-reference.com/cbb/players/ben-gregg-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,returning_same_roster,cached,2023-24,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2024-25,Gonzaga,gonzaga,Braden Huff,braden huff,SO,F,6-10,235,https://www.sports-reference.com/cbb/players/braden-huff-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,returning_same_roster,cached,2023-24,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2024-25,Gonzaga,gonzaga,Dusty Stromer,dusty stromer,SO,G,6-6,192,https://www.sports-reference.com/cbb/players/dusty-stromer-2.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,returning_same_roster,cached,2023-24,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2024-25,Gonzaga,gonzaga,Emmanuel Innocenti,emmanuel innocenti,SO,F,6-5,198,https://www.sports-reference.com/cbb/players/emmanuel-innocenti-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Tarleton State,WAC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Gonzaga,gonzaga,Graham Ike,graham ike,SR,F,6-9,245,https://www.sports-reference.com/cbb/players/graham-ike-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,returning_same_roster,cached,2023-24,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2024-25,Gonzaga,gonzaga,Ismaila Diagne,ismaila diagne,FR,C,7-0,237,https://www.sports-reference.com/cbb/players/ismaila-diagne-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,,,,,FALSE,,returning_or_freshman
2024-25,Gonzaga,gonzaga,Joaquim ArauzMoore,joaquim arauzmoore,SO,G,6-1,170,https://www.sports-reference.com/cbb/players/joaquim-arauzmoore-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Did not play - dnp,,NO_STATS,TRUE,find_source_stats_or_review,possible_transfer
2024-25,Gonzaga,gonzaga,Joe Few,joe few,JR,G,6-0,160,https://www.sports-reference.com/cbb/players/joe-few-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,returning_same_roster,cached,2023-24,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2024-25,Gonzaga,gonzaga,Jun Seok Yeo,jun seok yeo,JR,F,6-8,215,https://www.sports-reference.com/cbb/players/jun-seok-yeo-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,returning_same_roster,cached,2023-24,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2024-25,Gonzaga,gonzaga,Khalif Battle,khalif battle,SR,G,6-5,175,https://www.sports-reference.com/cbb/players/khalif-battle-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Arkansas,SEC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Gonzaga,gonzaga,Michael Ajayi,michael ajayi,SR,G,6-7,220,https://www.sports-reference.com/cbb/players/michael-ajayi-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Pepperdine,WCC,D1,TRUE,add_transfer_row_and_d1_source_stats,possible_transfer
2024-25,Gonzaga,gonzaga,Noah Haaland,noah haaland,JR,F,6-9,245,https://www.sports-reference.com/cbb/players/noah-haaland-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,not_on_previous_roster,cached,2023-24,Did not play - juco,,JUCO,TRUE,find_source_stats_or_review,possible_transfer
2024-25,Gonzaga,gonzaga,Nolan Hickman,nolan hickman,SR,G,6-2,185,https://www.sports-reference.com/cbb/players/nolan-hickman-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,returning_same_roster,cached,2023-24,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
2024-25,Gonzaga,gonzaga,Ryan Nembhard,ryan nembhard,SR,G,6-0,167,https://www.sports-reference.com/cbb/players/ryan-nembhard-1.html,data/cache/sports_reference_wcc_schools/gonzaga_2025.html,returning_same_roster,cached,2023-24,Gonzaga,WCC,D1,FALSE,,returning_or_freshman
