target_conference,first_target_season,destination_school,player_name,player_key,source_school,source_conference,source_level,source_season,class,position,height,weight,games,mpg,ppg,rpg,apg,spg,bpg,topg,fg_pct,fg3_pct,ft_pct,efg_pct,sports_reference_player_url,source_url,candidate_action
Atlantic 10,2022-23,La Salle,Fousseyni Drame,fousseyni drame,Saint Peter's,MAAC,D1,2021-22,JR,F,6-7,192,33,22.7,7.0,6.4,0.7,0.5,0.5,1.1,.553,.364,.627,.590,https://www.sports-reference.com/cbb/players/fousseyni-drame-1.html,https://www.sports-reference.com/cbb/players/fousseyni-drame-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2022-23,La Salle,Hassan Drame,hassan drame,Saint Peter's,MAAC,D1,2021-22,JR,F,6-7,190,34,21.3,6.0,5.3,0.8,0.9,0.4,1.3,.500,.346,.737,.529,https://www.sports-reference.com/cbb/players/hassan-drame-1.html,https://www.sports-reference.com/cbb/players/hassan-drame-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2023-24,Loyola Chicago,Desmond Watson,desmond watson,Davidson,A-10,D1,2022-23,SO,G,6-5,200,32,29.2,9.4,3.8,1.1,0.7,0.2,1.4,.409,.272,.747,.451,https://www.sports-reference.com/cbb/players/desmond-watson-1.html,https://www.sports-reference.com/cbb/players/desmond-watson-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2024-25,Loyola Chicago,Francis Nwaokorie,francis nwaokorie,UC San Diego,Big West,D1,2023-24,JR,F,6-7,220,33,31.5,11.3,5.5,0.9,0.7,0.7,1.5,.456,.340,.794,.550,https://www.sports-reference.com/cbb/players/francis-nwaokorie-1.html,https://www.sports-reference.com/cbb/players/francis-nwaokorie-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Loyola Chicago,Dominick Harris,dominick harris,UCLA,Big Ten,D1,2024-25,SR,G,6-3,190,11,7.4,1.1,0.6,0.1,0.4,0.0,0.3,.154,.111,1.000,.192,https://www.sports-reference.com/cbb/players/dominick-harris-1.html,https://www.sports-reference.com/cbb/players/dominick-harris-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Loyola Chicago,Kayde Dotson,kayde dotson,New Mexico,MWC,D1,2024-25,FR,G,6-2,190,32,6.7,2.3,0.4,0.8,0.4,0.1,0.5,.417,.417,.625,.542,https://www.sports-reference.com/cbb/players/kayde-dotson-1.html,https://www.sports-reference.com/cbb/players/kayde-dotson-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Rhode Island,Alex Crawford,alex crawford,Fresno State,MWC,D1,2024-25,JR,F,6-7,187,30,32.5,11.5,4.3,1.3,1.0,0.8,2.1,.491,.278,.701,.527,https://www.sports-reference.com/cbb/players/alex-crawford-1.html,https://www.sports-reference.com/cbb/players/alex-crawford-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Richmond,Will Johnston,will johnston,Loyola Marymount,WCC,D1,2024-25,SR,G,6-3,180,32,28.8,11.9,2.2,3.2,0.8,0.0,1.2,.405,.366,.877,.516,https://www.sports-reference.com/cbb/players/will-johnston-2.html,https://www.sports-reference.com/cbb/players/will-johnston-2.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2023-24,Saint Louis,Michael Meadows,michael meadows,Portland,WCC,D1,2022-23,SR,G,6-2,175,21,29.1,11.0,2.7,2.2,0.6,0.0,1.1,.457,.359,.778,.523,https://www.sports-reference.com/cbb/players/michael-meadows-1.html,https://www.sports-reference.com/cbb/players/michael-meadows-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2024-25,Saint Louis,Kilian Brockhoff,kilian brockhoff,UC Santa Barbara,Big West,D1,2023-24,FR,F,6-9,225,19,7.6,2.6,1.5,0.3,0.2,0.1,0.7,.395,.379,.571,.539,https://www.sports-reference.com/cbb/players/kilian-brockhoff-1.html,https://www.sports-reference.com/cbb/players/kilian-brockhoff-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2025-26,Saint Louis,Quentin Jones,quentin jones,Northern Illinois,MAC,D1,2024-25,SO,G,6-5,170,31,35.4,16.6,4.8,3.5,1.3,0.9,2.5,.455,.355,.766,.524,https://www.sports-reference.com/cbb/players/quentin-jones-3.html,https://www.sports-reference.com/cbb/players/quentin-jones-3.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2023-24,VCU,Connor Odom,connor odom,Utah State,MWC,D1,2022-23,JR,G,5-11,155,4,0.8,0.0,0.0,0.0,0.0,0.0,0.0,.000,,,.000,https://www.sports-reference.com/cbb/players/connor-odom-1.html,https://www.sports-reference.com/cbb/players/connor-odom-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2023-24,VCU,Max Shulga,max shulga,Utah State,MWC,D1,2022-23,JR,G,6-4,197,35,31.1,11.9,4.5,4.0,0.7,0.3,2.3,.428,.364,.824,.522,https://www.sports-reference.com/cbb/players/max-shulga-1.html,https://www.sports-reference.com/cbb/players/max-shulga-1.html,add_transfer_row_and_d1_source_stats
Atlantic 10,2023-24,VCU,Sean Bairstow,sean bairstow,Utah State,MWC,D1,2022-23,SR,G,6-8,190,35,31.6,10.3,5.2,2.6,0.4,0.2,1.5,.473,.386,.548,.524,https://www.sports-reference.com/cbb/players/sean-bairstow-1.html,https://www.sports-reference.com/cbb/players/sean-bairstow-1.html,add_transfer_row_and_d1_source_stats
