player_name,target_conference,source_level,source_school,destination_school,source_season,first_big_west_season,source_stat_source,source_url,source_class,seasons_played_before_transfer,class_backfill_source,class_backfill_file,class_backfill_table,class_backfill_matched_name
Derek Sangster,Big West,D1,Princeton,UC Davis,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/princeton/men/2024.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/princeton_2024.html,0,Derek Sangster
Daniel Tobiloba,Big West,D1,South Florida,UC Riverside,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/south-florida/men/2025.html,SO,2.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/south-florida_2025.html,0,Daniel Tobiloba
Vukasin Masic,WCC,D1,Maine,Portland,2021-22,2023-24,target_conference_common_box,https://www.sports-reference.com/cbb/players/vukasin-masic-1.html,SO,2.0,cached_sports_reference_player_profile,data/cache/sports_reference_roster_diff_profiles/vukasin-masic-1.html,0,Vukasin Masic
Petar Majstorović,Big West,D1,Syracuse,Long Beach State,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/syracuse/men/2025.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/syracuse_2025.html,0,Petar Majstorovic
Lassina Traoré,Big West,D1,Saint Louis,Long Beach State,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/saint-louis/men/2022.html,FR,1.0,cached_sports_reference_school_roster,data/cache/sports_reference_source_schools/saint-louis_2022.html,0,Lassina Traore
Tanner Christensen,Big West,D1,Utah Tech,Hawaii,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/dixie-state/men/2024.html,SR,4.0,cached_sports_reference_player_profile,data/cache/sports_reference_roster_diff_profiles/tanner-christensen-1.html,0,Tanner Christensen
T.J. Wainwright,Big West,D1,Robert Morris,Long Beach State,2023-24,2024-25,target_conference_common_box,https://www.sports-reference.com/cbb/schools/robert-morris/men/2024.html,SO,2.0,cached_sports_reference_player_profile,data/cache/sports_reference_roster_diff_profiles/tj-wainwright-1.html,0,T.J. Wainwright
Josh O'Garro,Big West,D1,Texas State,Cal State Northridge,2024-25,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/texas-state/men/2025.html,SR,4.0,cached_sports_reference_player_profile,data/cache/sports_reference_roster_diff_profiles/josh-ogarro-1.html,0,Josh O'Garro
Ty Johnson,Big West,D1,Loyola Chicago,UC Davis,2021-22,2022-23,target_conference_common_box,https://www.sports-reference.com/cbb/schools/loyola-il/men/2022.html,FR,1.0,cached_sports_reference_player_profile,data/cache/sports_reference_roster_diff_profiles/ty-johnson-3.html,0,Ty Johnson
Dailin Smith,Big West,D1,Alabama A&M,Cal State Bakersfield,2022-23,2025-26,target_conference_common_box,https://www.sports-reference.com/cbb/schools/alabama-am/men/2023.html,JR,3.0,cached_sports_reference_player_profile,data/cache/sports_reference_roster_diff_profiles/dailin-smith-1.html,0,Dailin Smith
