target_conference,player_name,player_slug,destination_school,destination_school_slug,first_big_west_season,big_west_porpag,barttorvik_bpm,barttorvik_obpm,barttorvik_dbpm,barttorvik_url,barttorvik_player_name,barttorvik_team,match_status,source_file
Big West,Zion Richardson,zion-richardson,Cal State Fullerton,cal-state-fullerton,2024-25,1.64499,0.246552,1.79854,-1.55199,https://barttorvik.com/playerstat.php?year=2025&p=71542,Zion Richardson,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Tyler Beard,tyler-beard,Cal State Northridge,cal-state-northridge,2024-25,0.378339,-2.43797,-1.65694,-0.781027,https://barttorvik.com/playerstat.php?year=2025&p=74281,Tyler Beard,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Luke Turner,luke-turner,UC Riverside,uc-riverside,2022-23,0.86682,0.930132,0.847351,0.0827815,https://barttorvik.com/playerstat.php?year=2023&p=74796,Luke Turner,UC Riverside,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Jailen Daniel-Dalton,jailen-daniel-dalton2,UC Riverside,uc-riverside,2025-26,0.496223,-1.14167,-1.39232,0.250648,https://barttorvik.com/playerstat.php?year=2026&p=135344,Jailen Daniel-Dalton,UC Riverside,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Donovan Oday,donovan-oday,Cal State Fullerton,cal-state-fullerton,2023-24,0.715954,-1.51098,-1.50568,-0.00529674,https://barttorvik.com/playerstat.php?year=2024&p=77404,Donovan Oday,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2024.csv
Big West,Emmanuel Tshimanga,emmanuel-tshimanga,UC San Diego,uc-san-diego,2022-23,1.249,-1.94734,-2.17675,0.229413,https://barttorvik.com/playerstat.php?year=2023&p=70385,Emmanuel Tshimanga,UC San Diego,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Kieves Turner,kieves-turner,UC Santa Barbara,uc-santa-barbara,2024-25,1.14622,-4.26967,-1.09785,-3.17182,https://barttorvik.com/playerstat.php?year=2025&p=73818,Deuce Turner,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Max Murrell,max-murrell,UC Santa Barbara,uc-santa-barbara,2024-25,0.530444,0.0959558,-0.335019,0.430975,https://barttorvik.com/playerstat.php?year=2025&p=72763,Max Murrell,UC Santa Barbara,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Ethan Igbanugo,ethan-igbanugo,Cal State Northridge,cal-state-northridge,2022-23,-0.0873994,-3.89288,-1.91178,-1.9811,https://barttorvik.com/playerstat.php?year=2023&p=65999,Ethan Igbanugo,Cal St. Northridge,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Shaquil Bender,shaquil-bender,Long Beach State,long-beach-state,2025-26,0.481159,-6.31452,-3.27587,-3.03865,https://barttorvik.com/playerstat.php?year=2026&p=77692,Shaquil Bender,Long Beach St.,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Jaden Henderson,jaden-henderson,Cal State Fullerton,cal-state-fullerton,2025-26,0.708306,-2.68576,-0.863341,-1.82242,https://barttorvik.com/playerstat.php?year=2026&p=135045,Jaden Henderson,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Bailey Nunn,bailey-nunn,Cal State Fullerton,cal-state-fullerton,2025-26,0.750752,-1.62165,-0.438114,-1.18354,https://barttorvik.com/playerstat.php?year=2026&p=78058,Bailey Nunn,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Garrison Wade,garrison-wade,Cal State Fullerton,cal-state-fullerton,2022-23,0.439672,-1.01808,-1.3614,0.343316,https://barttorvik.com/playerstat.php?year=2023&p=66540,Garrison Wade,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Isaiah Lewis,isaiah-lewis2,Long Beach State,long-beach-state,2025-26,-0.193809,-3.81127,-2.88993,-0.921336,https://barttorvik.com/playerstat.php?year=2026&p=127556,Isaiah Lewis,Long Beach St.,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,A.J. George,aj-george,Cal State Bakersfield,cal-state-bakersfield,2025-26,-0.419983,-6.96338,-3.44649,-3.51689,https://barttorvik.com/playerstat.php?year=2026&p=74782,AJ George,Cal St. Bakersfield,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Marcus Greene,marcus-greene2,Hawaii,hawaii,2024-25,0.646476,-3.54056,-1.79246,-1.74811,https://barttorvik.com/playerstat.php?year=2025&p=74395,Marcus Greene,Hawaii,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Ben Griscti,benjamin-griscti,UC Riverside,uc-riverside,2023-24,1.53292,0.512882,1.17103,-0.658153,https://barttorvik.com/playerstat.php?year=2024&p=75291,Ben Griscti,UC Riverside,matched_player_and_team,Bart data/trank_data_2024.csv
Big West,Modestas Kancleris,modestas-kancleris,Cal State Bakersfield,cal-state-bakersfield,2022-23,-0.232197,-1.54456,-5.20117,3.65661,https://barttorvik.com/playerstat.php?year=2023&p=72697,Modestas Kancleris,Cal St. Bakersfield,matched_player_and_team,Bart data/trank_data_2023.csv
Big West,Kobe Young,kobe-young,Cal State Fullerton,cal-state-fullerton,2024-25,-0.603892,-7.18035,-5.25972,-1.92063,https://barttorvik.com/playerstat.php?year=2025&p=75106,Kobe Young,Cal St. Fullerton,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,"Pierre Geneste, Jr.",pierre-geneste-jr,Cal State Bakersfield,cal-state-bakersfield,2025-26,-0.0335674,-1.31252,-2.85821,1.54569,https://barttorvik.com/playerstat.php?year=2026&p=76884,Pierre Geneste Jr.,Cal St. Bakersfield,matched_player_and_team,Bart data/trank_data_2026.csv
Big West,Nils Cooper,nils-cooper,UC Davis,uc-davis,2024-25,0.586606,-1.24927,-1.67156,0.422286,https://barttorvik.com/playerstat.php?year=2025&p=78656,Nils Cooper,UC Davis,matched_player_and_team,Bart data/trank_data_2025.csv
Big West,Julien Franklin,julien-franklin,Cal Poly,cal-poly,2021-22,-0.497361,-3.3458,-3.01483,-0.330969,https://barttorvik.com/playerstat.php?year=2022&p=71459,Julien Franklin,Cal Poly,matched_player_and_team,Bart data/trank_data_2022.csv
Big West,Cameron Wilbon,cameron-wilbon,Cal State Bakersfield,cal-state-bakersfield,2023-24,0.268573,-4.07878,-2.31757,-1.76121,https://barttorvik.com/playerstat.php?year=2024&p=65790,Cameron Wilbon,Cal St. Bakersfield,matched_player_and_team,Bart data/trank_data_2024.csv
